label,mode,final_full_layers,token_keep_ratio,num_samples,top1_percent,top1_ci95_low,top1_ci95_high,delta_top1_points,bootstrap_std_points,ci95_low_points,ci95_high_points,num_resamples,dominant_flops_ratio,correction_to_approx_flops,final_full_to_approx_flops,backbone_compute_p50_ms,model_compute_p50_ms,request_p50_ms,correction_p50_ms,final_full_p50_ms,avg_wire_bytes_per_sample,avg_actual_patch_keep_ratio
l2l1l0_n0_k0.4,l2l1l0,0,0.4,1024,86.62109375,84.5703125,88.76953125,-0.68359375,0.5055064206544814,-1.66015625,0.29296875,10000,1.403831417624521,0.40383141762452107,0.0,432.25789070129395,542.374849319458,751.9515377935022,182.6094388961792,0.0,305725.095703125,0.39453125
l2l1l0_n0_k0.6,l2l1l0,0,0.6,1024,86.71875,84.66796875,88.8671875,-0.5859375,0.47668213025807527,-1.5625,0.29296875,10000,1.582375478927203,0.5823754789272031,0.0,438.6407136917114,548.3517646789551,735.1086940616369,200.35171508789062,0.0,305725.095703125,0.595703125
l2l1l0_n0_k1,l2l1l0,0,1.0,1024,87.20703125,85.15625,89.2578125,-0.09765625,0.356811615475513,-0.78125,0.5859375,10000,1.9402298850574713,0.9402298850574713,0.0,444.89848613739014,564.8826360702515,747.8575771674514,232.1641445159912,0.0,305725.095703125,1.0
l2l1l0_n2_k0.25,l2l1l0,2,0.25,1024,86.23046875,84.1796875,88.37890625,-1.07421875,0.5257424718200001,-2.1484375,-0.09765625,10000,1.2721264367816092,0.2864488808227465,0.05263157894736842,413.6486053466797,554.2347431182861,764.1128930263221,171.35155200958252,9.312629699707031,305725.095703125,0.25
l2l1l0_n2_k0.4,l2l1l0,2,0.4,1024,86.71875,84.66552734375,88.8671875,-0.5859375,0.4964280334150494,-1.5625,0.390625,10000,1.3952107279693486,0.41601129259931435,0.05263157894736842,420.92180252075195,558.4139823913574,748.7139045260847,186.96093559265137,9.187459945678711,305725.095703125,0.39453125
l2l1l0_n2_k0.6,l2l1l0,2,0.6,1024,86.81640625,84.765625,88.8671875,-0.48828125,0.4453942059764872,-1.3671875,0.390625,10000,1.5700191570881226,0.6000201653559185,0.05263157894736842,404.09374237060547,548.757791519165,743.1651121005416,189.87488746643066,9.328126907348633,305725.095703125,0.595703125
l2l1l0_n2_k1,l2l1l0,2,1.0,1024,87.20703125,85.15625,89.2578125,-0.09765625,0.356811615475513,-0.78125,0.5859375,10000,1.9204022988505747,0.9688445251058682,0.05263157894736842,527.593731880188,691.0239458084106,850.8198484778404,275.4843235015869,9.195446968078613,305725.095703125,1.0
l2l1l0_n3_k0.25,l2l1l0,3,0.25,1024,86.328125,84.27734375,88.4765625,-0.9765625,0.5337248994824115,-2.05078125,0.0,10000,1.2660919540229885,0.28766697732214974,0.08108108108108109,432.04665184020996,566.3670301437378,753.4183484967798,162.7812385559082,13.968706130981445,305725.095703125,0.25
l2l1l0_n3_k0.4,l2l1l0,3,0.4,1024,86.62109375,84.5703125,88.671875,-0.68359375,0.4872851105506872,-1.66015625,0.29296875,10000,1.3865900383141763,0.4179351765558662,0.08108108108108109,414.20304775238037,547.3587512969971,771.7827940359712,180.61745166778564,13.796806335449219,305725.095703125,0.39453125
l2l1l0_n3_k0.6,l2l1l0,3,0.6,1024,86.62109375,84.5703125,88.67431640624999,-0.68359375,0.4476839469144257,-1.5625,0.1953125,10000,1.5576628352490423,0.6028787408097753,0.08108108108108109,440.23454189300537,569.4139003753662,789.4650746602565,201.53915882110596,13.984441757202148,305725.095703125,0.595703125
l2l1l0_n3_k1,l2l1l0,3,1.0,1024,87.109375,85.05859375,89.16015625,-0.1953125,0.31165440566259095,-0.87890625,0.390625,10000,1.900574712643678,0.9735942839391115,0.08108108108108109,444.6249008178711,567.0861005783081,686.7483214009553,231.00781440734863,13.796806335449219,305725.095703125,1.0
