label,num_requests,top1_percent,dominant_flops_ratio,request_p50_ms,request_p95_ms,paired_median_delta_ms,paired_median_delta_ci95_low_ms,paired_median_delta_ci95_high_ms,speedup_vs_full,speedup_ci95_low,speedup_ci95_high,mobile_encode_p50_ms,decode_p50_ms,backbone_p50_ms,model_compute_p50_ms,wire_kib_per_image,num_resamples
full_sequential_isolated,32,87.3046875,1.0,761.06449496001,853.0471788020805,0.0,0.0,0.0,1.0,1.0,1.0,394.28048650734127,45.91047763824463,191.87510013580322,203.5156488418579,170.57235145568848,10000
l2l0_n3_k0.25_isolated,32,86.5234375,1.189080459770115,535.0041422061622,670.3156469156966,-226.06035275384784,-246.31213955581188,-166.400853311643,1.4225394439408587,1.2961552474556792,1.4670853375760304,318.26923321932554,232.9716682434082,326.4964818954468,371.9569444656372,259.10050106048584,10000
l2l1l0_n3_k0.25_isolated,32,86.328125,1.2660919540229885,668.9231984782964,835.3575606830418,-92.14129648171365,-117.27750933496282,-50.17758517642511,1.1377457033801814,1.0741780827095317,1.1778212623170854,348.9237071480602,327.5938034057617,436.4452362060547,537.6914739608765,298.559663772583,10000
